scores,avg_score,types,date,room,useful,comments
"位置:3.0,设施:1.0,服务:1.0,卫生:1.0",1.5,商务出差,2019年05月入住,商务双床房,0,酒店设施陈旧，外面温度23度，室内温度28.29号，没法开空调，让给把风扇都没有，闷。后来找了个工作人员来开个窗户，窗台框那个灰尘，也是无语了，到六点说才说能退房。标4星，这服务，还是告戒不要住。对了，没花洒，有老式浴缸，冲凉得跨上浴缸站着，还有或是在浴缸洗，但是浴缸的干净度，很待考究。建议携程合作的酒店还是要更好的实地考核一下。
"位置:5.0,设施:3.0,服务:3.0,卫生:5.0",4,独自旅行,2019年06月入住,精品大床房,0,酒店太老了，而且外卖不让上楼，前台也不给送上楼，屋里环境还行吧，总之就是一般，觉得没有四星酒店该有的待遇，早餐我没吃过，早上起不来，早餐时间是6点半到9点，屋里不是很大，带孩子可能有点挤，我住的是大床房，两个人正好，有孩子肯定挤的慌，位置非常好，周围都是夜店，离火车站很近
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2019年03月入住,商务大床房,0,酒店位置不错，周边配套较好，餐饮特别方便。前台服务非常热情。早餐品种也不少。窗户是管制性开启，开个窗户还得找服务员😄
"位置:4.0,设施:5.0,服务:5.0,卫生:5.0",4.8,商务出差,2019年04月入住,商务双床房,0,船舶丽湾酒店地理位置得天独厚，为了方便起见，也是特意订了含早餐的，令我们想不到的是酒店早餐品种丰盛，应有尽有，房间也间隔方正，下次有机会还会选择这家
"位置:5.0,设施:1.0,服务:1.0,卫生:4.0",2.8,商务出差,2019年04月入住,大床房,0,1，早上，早起后，要洗澡时，水龙头不出水。要刷牙时，水龙头也不出水。\n设施条件不好！太差！\n\n2，设施有问题，也没有通知我，给我带来了很大不便！\n服务太差，心中没有想着客人。\n\n3.我打电话给服务人员，服务人员的回答是，维修工没有来。\n就完了，连句道歉的话都没有。\n\n以上，是我的感想！\n
"位置:4.0,设施:4.0,服务:4.0,卫生:5.0",4.3,商务出差,2019年04月入住,商务双床房,0,开不了住宿清单，对于需要的人来说很麻烦的事情。住都住了，只怪自己当初没有问清楚，希望以后携程能把这些在订单中提示。
"位置:4.0,设施:4.0,服务:5.0,卫生:5.0",4.5,朋友出游,2019年05月入住,商务双床房,0,酒店位置不错，周边交通和消费十分方便。酒店卫生和服务都非常好，早餐菜品有些简单，如果能再丰富一些更好了
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2019年05月入住,精品大床房,0,环境还可以吧，毕竟价钱在这呢，就是住了几次总觉得有些乱，可能酒店附近都是酒吧吧，大半夜总感觉有坏人
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,家庭亲子,2019年02月入住,商务双床房,0,总体感觉还好，入住时前台接待非常热情，手续便捷，房间的毛巾与酒店四星有些差距。\n早餐被安排到3楼，吃的东西太少了，而且68元一人真心贵！
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,情侣出游,2019年03月入住,精品大床房,0,本地人在旺季不要考虑丽湾，住客多是来出差之类的，后半夜一两点还叽哩哇啦的，就和小脑萎缩一样
