scores,avg_score,types,date,room,useful,comments
"位置:4.0,设施:4.0,服务:5.0,卫生:5.0",4.5,朋友出游,2019年06月入住,,0,酒店位置优越，地面地下都可以停车，东楼是老楼，设施略显陈旧，但是走廊和客房的地毯收拾得相当干净，没有零零星星的污渍，客房相当宽敞，洗漱用品一应俱全，外面环境也安静，晚上睡觉不吵闹，出行方便，周围也有很多吃的东西，总之有机会再来大连还是会选择入住的。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,,0,"酒店位置非常好，双层玻璃即使临街也不会吵，卫浴全部都是TOTO,自动坐便，干湿分离，服务周到没有一些人点评的那样冷淡，但和佳兆业比服务上有些差距，但其实服务人员非常热心，可能表达的方式不太一样，停车位紧张，没在富丽华吃早餐，因为中山广场附近实在吃的应有尽有，日料，快餐，中餐"
"位置:4.0,设施:4.0,服务:3.0,卫生:3.0",3.5,其它,2019年06月入住,,0,总体还行，细节较差。办理入住还有退房很顺利。房间，整体还可以，仔细看，有的地方灰尘很厚。厕所干湿分离可以，但是洗澡不便，要不直接淋浴花洒，要不手拿，想把手拿的挂起来不行。很鸡肋。卫生间的椅子非常脏。房间的沙发也是不干净。酒店离公交站很近，离地铁站偏远，走起来得走一会。还有就是给的洗漱用品很一般。没有护发素。洗发用品也不知道什么牌子的。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年04月入住,,,一进酒店的大气豪华就非常舒服，前台给我办入住的小哥哥很专业很效率而且形象高瘦帅，非常nice。房间设施设备准五星没毛病，淋雨非常舒服，马桶坐上去是热乎的很惊喜。唯一不足的小地方就是牙刷毛太硬了，我和我朋友都被刷出血了，用过最硬的牙刷毛了，下次去要用自己带的牙刷了。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2019年05月入住,,0,比较适合，酒店性价比比较高，最好自驾去，交通门口就有公交车，但不能刷微信支付宝，一元坐车比较坑爹，要换零钱
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年06月入住,,0,停车场免费，前台服务员基本礼仪需要培训，服务意识没有，服务员互相聊天却眉开眼笑，打扫卫生的人不知道为什么10点就敲门告诉我退房。
"位置:3.0,设施:3.0,服务:3.0,卫生:1.0",2.5,家庭亲子,2019年06月入住,,,这是我住过的最差劲的五星酒店了。我要求高楼层，无烟，安静整洁的房间，回复能满足才确认的房间。结果给的房楼层低，房间就在电梯口，房间里有烟灰缸！！！办理入住，前台人员全程聊天！进了房间，卫生真是令人作呕！马桶上是尿渍！洗手盆有残留毛发！玻璃台板上有明显较厚的灰尘！（晚上洗澡起了雾才发现厕所玻璃压根没擦过，就手够得到的地方有一个扇形的圆弧擦拭印迹）。立马打电话跟酒店反映，接线的工作人员一副无所谓的语气，然后来了客房服务人员还算态度良好，把水池和马桶擦了一遍。但是第二天早上我回房拿雨伞时，见到服务人员更换被套时，直接把被子的内胆放在地上！天呐！！！当时订房时觉得隔壁的香格里拉年份太久才选了富丽华西楼，后悔得没话说，再来大连万不会再住了！！
"位置:5.0,设施:4.0,服务:3.0,卫生:3.0",3.8,其它,2019年06月入住,,0,酒店位置很好，很方便。住的西楼，有智能马桶，双人台盆等高大上设施，但淋雨花洒水量小，电话机 沙发 地毯等陈旧脏兮兮，感觉不太好。服务感觉没有很热情，但也是有求必应。没吃酒店早餐，价格太高。
"位置:4.0,设施:4.0,服务:5.0,卫生:5.0",4.5,独自旅行,2019年05月入住,,0,富丽华虽然不是新潮的酒店，但是处处透着当年的豪华。。。大气。。价格适中合理，房间宽大，见家具不新，但是够用。。与其花400住那些所谓的4星酒店，不如加200多住这里更有品质感。
"位置:5.0,设施:1.0,服务:3.0,卫生:3.0",3,家庭亲子,2019年06月入住,,0,位置可以，但是设备偏旧，柜台承诺的服务无法兑现，第一次在五星酒店被告知，超过1米的儿童早餐须购买半价票，无语?
