scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,独自旅行,2018年12月入住,,0,定的豪华单间给免费升级到豪华套房，房间设施虽有点旧，但胜在空间大，楼层高可以看到海。关键是在某团上显示仅有少量标准双人间可以选，而在携程上却还有很多房型可以选👍
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,家庭亲子,2018年09月入住,,0,位置好，出行吃饭购物都方便，没开车不知道停车场怎样，房间设施有点旧了，但是胜在设备齐全，服务好，家庭房适合带孩子入住，主卧两米大床外加床尾榻和椅子刚好拼成个两米五超大床，床尾两个单人沙发靠背堵上，宝儿在床上随便翻滚。次卧一张一米三单人折叠沙发床，140斤胖子估计睡不了可能会压塌，早餐还没吃，期待高品质。
"位置:3.0,设施:2.0,服务:2.0,卫生:5.0",3,商务出差,2019年01月入住,,0,缺点是热水器的水忽凉忽热，洗澡不方便，浴缸泡热水澡不现实。而且半夜空调暖风停了，很冷。名字是海景酒店但其实看不到海。优点是房间比较干净，房间很大，住着也比较安静不吵。
"位置:5.0,设施:3.0,服务:5.0,卫生:3.0",4,独自旅行,2018年09月入住,,,服务态度很好，停车不是旺季酒店门口一圈都还是方便的，周边吃的还是蛮多的  \n房间设备陈旧，床太软 房型都有点不一样的\n空调不给力……
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年01月入住,,0,最近几次出差一直住在这，港湾广场、二七广场、东部商务区都很近，性价比超高，也有免费停车场，靠近地铁站不到一百米，位置绝佳
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,家庭亲子,2018年10月入住,,0,定的亲子房，大床能睡3人，沙发床能睡1人，吃饭很方便，离歹街很近，离东港广场也很近，停车免费，服务也不错，设施老旧一些，总体满意
"位置:3.0,设施:2.0,服务:2.0,卫生:4.0",2.8,家庭亲子,2018年08月入住,,,这个酒店设施陈旧，墙上壁纸有很多裂缝，瓷砖都很久，更让人气愤的是30℃没有空调，还不告知，是怕客人不住了吧。大厅一进门就是一股尘土飞扬的味道，心都凉了。总之，花600多打地铺我也是够了，这是我住过的最次的酒店，没有之一，它是当之无愧的第一。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年07月入住,,,第一次来大连游玩，选的是大连海景酒店，出机场比较晚了，但还可以打车到酒店的，服务人员态度好，生活地理位置优越，市境繁华，有部分房间可以看到大海，有独立卫浴，有浴缸，床很软，很舒适，还有携程官方空气净化器，房间位置大，房间偏向于中国风，推荐大家到酒店入住。
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2018年08月入住,,0,地理位置优越，邻近东港，晚上看音乐喷泉和大海真的好漂亮，酒店环境及设施齐全但有些老化，品尝大连大小美食很方便，下楼即是，毗邻大连最繁华商业区，购物交通十分便利，总的来说算是满意，不错的一次网购。
"位置:3.0,设施:4.0,服务:4.0,卫生:5.0",4,商务出差,2018年09月入住,,0,应该是五星级酒店，但是房间设施老旧，床头没有可为手机充电的电源。地理位置不错，毗邻地铁站。早餐太一般，与五星级酒店早餐差距极其悬殊。但是价格也比五星级酒店便宜很多。优点是房间面积大。最近酒店周围施工，白天有工程噪音。
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,家庭亲子,2018年07月入住,,0,酒店地段位置尚可；但设施较为一般或陈旧。服务态度及水平不错，但谈不上优秀。早饭实在是太一般了，比不上大街上的二十元一份的。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年12月入住,,0,离海边不远，环境非常不错，离什么广场也挺近的，都是上世纪20年代建筑，有兴趣了解伪满政权的朋友可以去看看。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,家庭亲子,2018年08月入住,,,不错的宾馆，性价比很高，房间相当大，当然设施确实稍旧了一点，但瑕不掩瑜吧！带孩子来的，周围吃饭非常方便，还有免费停车场。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年06月入住,,,我这次来大连 旅游，住的大连海景酒店，首先是房间特大，设备完好，操作顺手，前台和服务员态度都很好，9号入住一天，感觉周边环境出行方便，用餐就近都不远。所以又都定了二天。
"位置:5.0,设施:3.0,服务:4.0,卫生:4.0",4,商务出差,2018年12月入住,,0,位置不错，离地铁站近。房间很大，但装修比较陈旧，地毯不是很干净。因为是淡季，房间内消费都没货，比方说叫一盒方便面也没有。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,朋友出游,2018年06月入住,,0,大连一座美丽的城市，旅游度假得好去处，在携程上搜索到这家酒店，离音乐广场非常近，房间大而宽敞，干净整洁，光线充足可以看到海边。夜色观景，惬意！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年12月入住,,0,安靜。隔音好。房間夠大。價格中等。唯有早餐差了一點。地理位置也還可以，這趟主要是出差 沒時間好好逛大連。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,朋友出游,2018年07月入住,,,环境很好，这个房间能看到海景，离机场也很近便，打车三十二元就可以到。唯一美中不足就是充电插座不是很方便，床头没有，总体很棒
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年07月入住,,,这次出门旅游感觉最好的酒店，位置很好，走十分钟左右就可以去大连港。门口接待的小哥一直帮忙登记入住，并把行李送到房间；客服经理推荐的位置吃饭物美价廉；还可以帮忙订船票。房间面积很大，站在客房窗户旁边，远远的大海蓝天，视野开阔。旁边还有一条叫歹街的小吃街，可能在当地很有名吧，反正是人山人海，还有些网红小吃，离酒店只有几百米。总之，很满意！
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,代人预订,2018年11月入住,,0,整体还可以吧，帮人订单的，晚上有人值班，办理的入住在最顶层，电梯楼层是需要插卡的，冬天二百多的价格很实惠了
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,,0,出行方便，出门拐弯就是地铁站，服务态度好，周边美食也多，离东港、十五库很近，虽然是老酒店，但是服务很到位，27楼可以看到大海。
"位置:3.0,设施:2.0,服务:2.0,卫生:3.0",2.5,商务出差,2018年08月入住,,,真不知道怎么评五星的，房间都发霉的，走道里一股霉味，房间脏的要命，房间里的冰箱都是发霉的，和照片都房型都不一样
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年12月入住,,0,不错，老牌子酒店还是比较靠谱，地点好，楼层高，有观光梯，有顶层餐厅，房间也够大，是个不错的选择哈~哈
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,商务出差,2018年12月入住,,0,还是时间地点还发不发v发剪发卡不喜欢小火花DVD绝地海岛还打不打好哒好哒华东交大好的吧额不回复v和充电宝都好吃
"位置:2.0,设施:1.0,服务:2.0,卫生:3.0",2,朋友出游,2018年09月入住,,0,我有史以来住过最差的酒店，没地方充电.半夜没空调.我开了窗户睡了一宿沙发.差点都没热傻了.这么大个酒店省这么点电.刮胡刀也没有.设施陈旧.就是实在是太差了.
"位置:5.0,设施:3.0,服务:3.0,卫生:4.0",3.8,家庭亲子,2018年08月入住,,,这家酒店地理位置还可以，开车到大连港五分钟就到了，就是设施有点旧
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,家庭亲子,2018年09月入住,,0,酒店地处老城区，周边饭店多，而且有很知名的老店。酒店服务还行，就是设施比较陈旧，房间不开阔，较为狭长。早餐太贵，可以吃的东西不多，最好不要订，周边的美食很多。
"位置:5.0,设施:3.0,服务:3.0,卫生:3.0",3.5,商务出差,2018年09月入住,,,酒店只有地理位置还算不错的，但酒店比较陈旧，房间设施都陈旧了，早餐也很一般般，品种很少，餐厅服务员水准很一般，只顾玩手机，没有服务，跟它的所标的星级完全不相符，酒店是跟写字楼，公寓合用的一个大厅，酒店前台入住手续要在27楼办理，当时也就是冲着海景酒店这个名称去订的房，只能算是很普通的一般酒店。
"位置:4.0,设施:3.0,服务:3.0,卫生:3.0",3.3,情侣出游,2018年09月入住,,0,因为是第二天的游轮，所以位置还不错，但是酒店内部装修和设施老化，感觉是有年头了，不建议有洁癖和带小孩子的来居住。因为参考了其他住客的意见所以早餐没有去用。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年06月入住,,,酒店办理入住很便捷迅速，前台接待人员服务态度也很友善，房间非常宽敞，打扫也干净整洁，入住很愉快满意。
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,朋友出游,2018年08月入住,,0,酒店位置非常的不错，地铁站步行两分钟。停车也非常非常方便。硬件设施也不错，服务也没话说。唯一不方便的是酒店大堂在顶层27楼，办理入住和退房时得坐电梯到顶层有点耽误时间。另外建议贵酒店将退房时间延长到下午两点，现在大部分酒店都是这样。总体很满意
"位置:1.0,设施:1.0,服务:1.0,卫生:1.0",1,朋友出游,2018年08月入住,,0,通过携程这么久，第一次给差评！真的是住到我无以表达！房间老旧到让我以为自己是生活在旧社会的资本主义家！我定的事家庭房！房间连空调都没有！！！！外面的温度都要比房间凉快！简直在房间里我一动不敢动！因为热！真的很热！！！是那种在汗蒸馆才有的感觉！！还有酒店的门童，刚开始我以为是酒店的服务很好帮着我们拎行李！！谁知道，是想要小费的！消费不都是看客人自愿的么？站在房间里不走是怎么回事？？？很是尴尬好吗！两个女生，你一个门童在我们房间里不出去，就那么看着我们，我是真的没办法理解！这真的是我有史以来住过最差的酒店了！！！！
"位置:1.0,设施:1.0,服务:1.0,卫生:1.0",1,家庭亲子,2018年08月入住,,0,太次 设备老化 空调坏了也不事先通知一下 害得住进去后热的一宿没睡 不能退 不能换 我还纳闷呢 刚进房间为啥还有电风扇 服务员让我开窗户睡 有蚊子就点蚊香 价格这么贵 本来想奢望个海景房 远点也行 住了二十多层了 可惜盼来的是高楼堵的啥也看不见  六七百块钱连个早餐也没有 我是再也不住这个酒店了
"位置:5.0,设施:3.0,服务:5.0,卫生:5.0",4.5,家庭亲子,2018年08月入住,,0,这家酒店各方面都很好，可惜我们去的时候中央空调系统不工作，尽管为房间增添了降温设备，但仍然热得无法入睡。只好住一天提前退房。酒店为我们补了早餐作为补偿。
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,家庭亲子,2018年09月入住,,0,地点不错，条件也还可以。就是设施老了点，不过不妨碍使用。但是床太软，但是空调不足，九月中旬入住，空调分时段，房间比外面热，不舒服。
"位置:1.0,设施:3.0,服务:3.0,卫生:3.0",2.5,家庭亲子,2018年08月入住,,0,出门旅行最重要的是休息好，凌晨一点多被吵的睡不着觉，以为是酒店外面有施工，结果是酒店对面发出的巨响冒着白气，家庭房的小床非常简陋，是张沙发床打开，酒店介绍里的游泳馆，打电话给吧台，说是不开放，酒店设施老化，不值这个钱。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年02月入住,,,位置非常方便 机场地铁2号线到港湾广场下车 D口一出来就能看到酒店了。这次定的家庭房，可以看到海，虽然不是很美。望过去是海港 造船厂之类的。孩子的床是沙发床展开的，大床有两米。
"位置:5.0,设施:5.0,服务:5.0,卫生:4.0",4.8,情侣出游,2018年10月入住,,0,设施很好，可看海景主要是因为酒店确实是高，前台是27楼，一进去就能感受到是老酒店，好在房间很大，床也很大，设施齐全，挺高级的
"位置:5.0,设施:3.0,服务:3.0,卫生:3.0",3.5,家庭亲子,2018年08月入住,,0,酒店位置不错，能看到造船厂，大堂改在27层，设施较陈旧，有人问及有没有泳池，服务人员说出租了。家庭房多床，是沙发打开的折叠床，我是脚高、头高窝着睡了4晚，不过以大连的印象还是很好的，有机会再去吧
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,,0,比想象中要好 即便有些贵 但总体来讲还是可以的 交通便利 房间也比较大 不错 和北上广比这价格也不算便宜了 我们只是订个快捷酒店而以 但却是超出我的想象了 不错 其实这价格在烟台可以住金沙湾酒店了
"位置:4.0,设施:3.0,服务:3.0,卫生:4.0",3.5,家庭亲子,2018年08月入住,,0,定的套房，房间面积很大，但设备很陈旧，很多灯是坏的，光线特别暗，很压抑。电梯慢的无法形容，还没有空调。携程显示酒店有游泳池、健身房，不仅住客不能使用，自己付费都不对住客开放。早餐更是简单到极点，没有任何可圈可点之处。600多的房价，不值。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,,0,老牌酒店，位置很好，有停车场，服务不错，工作人员态度很好，关键是性价比高，一家三口住的店，下次还会住，推荐！\n#完美服务# \n#绝佳位置# \n#房间干净# \n#设施齐全#
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年07月入住,,,酒店非常不错。设施也很齐全。细节到位，依稀可见当年的繁华。本人非常满意
"位置:1.0,设施:1.0,服务:1.0,卫生:1.0",1,家庭亲子,2018年08月入住,,,第一次来大连，这也是我这半辈子住的最差的房间，它是大连年龄最大的酒店，很旧，很老。它只是叫海景酒店，但海景房特缺，你要在网上订的你及时打电话给酒店他也不会给你预留海景房间。房间不好也就算了，可我一大早跑到酒店为了预留780元的海景房。可是服务员和退房顾客因为空调噪音大没冷气的原因吵架。影响服务员情绪后，服务员带着情绪和不好的语气迟迟不能够给我们登记入住。（就是爱答不理那种）真的好气！这个房间最多值320 。建议大家别在住这家，他们的酒店现在都没有星🌟级。他们的泳池也租出去了，用不了。他们的空调噪音真的很大。
"位置:2.0,设施:1.0,服务:1.0,卫生:2.0",1.5,家庭亲子,2018年08月入住,,0,订的是海景行政房，一点海景也看不见，协商换了国宾套房，整体感觉很旧，可能是因为年代久远，房间设施都很旧，味道刺鼻，空调声音很响，不凉快。服务员态度欠佳，酒店实景与携程网上照片不符，游泳池也没有，都是骗人的！！！
"位置:3.0,设施:3.0,服务:4.0,卫生:3.0",3.3,家庭亲子,2018年07月入住,,0,一般吧，酒店是那种公寓式的楼房里，与私人住宅在一个楼里。酒店大堂在最高层27层，我住宿是在21。说是海景啥也看不着，周围全是高层楼房。下面还有两个楼在建设中。酒店设施老旧，还算干净吧。服务倒是很好。主要问题是价钱639一晚还这个品质，就觉得是真心的贵，不值得，所以虽然定了三晚上，当天就联系携程第二天就提前离店。携程服务真心好，第二天给我回信说可以退房。搬到金石滩这边了。不过这边酒店350的就跟以前那种招待所似的，不干净，设施也不全，服务很一般。出门旅游只能是对付了。要不就舍得花钱住那1000左右的，品质有保障舍不得呀！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年11月入住,,0,很不错的酒店。酒店位置还是很方便，离海边很近，早餐很不错，很丰盛，吃的很饱。网络速度也可以，就是稍贵了点。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年10月入住,,0,房间很大，能看到大海，交通便利，就是设施太旧了，隔音不太好，附近吃的挺多的，去景点也方便，酒店挺高档
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年08月入住,,0,我很喜欢这家酒店 大连港特别进 交通四通发达 早餐特别丰富
"位置:5.0,设施:3.0,服务:3.0,卫生:4.0",3.8,家庭亲子,2018年07月入住,,0,这次住的家庭房 马桶冲水太慢还冲不下去 淋浴喷头水太小 长发都洗不干净 大床不平 另一个是沙发床不在一个房间 我们是四个人 小不点10个月 还有早餐太差了 菜品少的可怜 炒米饭和山药块都是馊的 这是我住的最差劲的酒店
"位置:5.0,设施:4.0,服务:4.0,卫生:4.0",4.3,商务出差,2018年08月入住,,0,房间还比较干净，楼层高视野挺好的，就是洗脸池的塞子死活起不来，早餐很一般和酒店的星级不匹配，其他都还好。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2018年08月入住,,0,是很老的五星酒店，交通方便，位置好，房间超大，就是设备有点老了，早餐不行，品种没有几个，口味也不怎么样，需要改善。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,,,酒店位置好，离歹街很近，房间面积挺大的，舒适卫生，价格合理，虽然没含早餐，但楼下就有永和豆浆，很方便
"位置:4.0,设施:1.0,服务:4.0,卫生:4.0",3.3,商务出差,2018年09月入住,,0,千万别选大床房，图片与实际不符。整个房间鬼气鬼色的，一张大镜子正对着床。住这种房间，不碰邪才难呢！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,,0,大连老字号酒店，还不错👍，外地朋友一家6口来大连玩，海景离我家近，重要的是家庭房🈶️一大床一沙发床挺好的，前台还给留了一个海景的房间，不错👍
"位置:2.0,设施:3.0,服务:1.0,卫生:3.0",2.3,朋友出游,2018年06月入住,,,酒店除了房间大之外没优点，早餐种类少，打扫不干净。晚上只提供一条浴巾，退房时还诬陷我们少一条浴巾，等了半小时也没解决，已经离开大连，才撤回预付，第一次碰到所谓五星这么差的服务。
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,家庭亲子,2018年06月入住,,0,酒店设施还不错，周围出行方便，地铁很近。晚上看音乐喷⛲️泉走路就到了，很不错。刚进屋有味，还好携程冠名空气清新设备不错。中央空调噪音实在是太大了，好在玩累了倒头就睡。房间有的地方会看到尘土，打扫不彻底，床单被罩很干净，大床很舒服。
