scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年05月入住,标准间,,总体来讲，性价比很高。虽然是老酒店，卫生很不错！距离最近的海边步行20分钟就到了，很不错！下次还会入住！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年05月入住,标准间,,房间升级豪华间，室内安静整洁，下次还会选择入住！前台叫王男的员工服务非常好^_^
"位置:5.0,设施:4.0,服务:2.0,卫生:4.0",3.8,朋友出游,2019年01月入住,标准间,0,房间还算干净卫生毕竟才260元房费！二楼餐厅菜品比较贵实在很饿选择在二楼吃一口！没想到三个菜上齐需要一小时！服务员连句话都不会说！反复问了几遍米饭服务人员就像聋子一样听不见不回答！坐在餐桌傻等半小时才上来一个菜！每道菜需要间隔20多分钟！连个水都没有！68元杭椒牛柳是猪肉！真是服了！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年02月入住,豪华标准间,,早餐还好，这个级别酒店算中规中矩吧。房间床品不错，睡着很舒服！配有沙发小茶几，很方便！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年01月入住,标准间,,很好，一直很好，多少年前就很好，卫生干净，服务很好，定错了日期，直接改定办入住，很好，周边商业很近，大学，医院，商场都很近，交通方便，停车方便
"位置:3.0,设施:1.0,服务:1.0,卫生:3.0",2,商务出差,2019年05月入住,标准间,,早餐没吃，床超级不舒服，两次打电话要被子话没说完电话被挂了。冷水洗的澡，隔音效果差隔壁呼噜声很清楚。早餐没来得及吃。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2019年03月入住,豪华标准间,0,大连的一家四星级的酒店。朋友和领导们都非常推荐。这次来出差一共出了两天，住了两天。感觉还行。早餐也挺丰富的。周边的吃喝花。都还可以。总体还行吧。
"位置:4.0,设施:3.0,服务:4.0,卫生:3.0",3.5,商务出差,2019年04月入住,豪华标准间,0,酒店位置佳，周边歺馆多方便就歺，酒店旁有停车场停车方便且免费，酒店早餐一般般，性价比低，品种不多，房间卫生一般。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年09月入住,标准间,,酒店位于开发区繁华地区，周围酒店林立，很好辨认，交通便利。距海滨及多个城市公园不足2公里，游玩方便。酒店设施齐全，服务热情。酒店对面有超市🏪，购物方便。值得入住！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年12月入住,标准间,,驾车从江南到东北，选择烟台到大连滚装船是个好主意。大连靠岸，住在新海天国际酒店是我的不二选择，交通方便，卫生好，房间舒适，服务态度好，每次来这里，都毫不犹豫的选择。希望坚持下去！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年10月入住,标准间,,酒店房间很舒服，很宽敞。卫生间很大，水很舒服。服务态度超级好，熊孩子不小心把房卡折断了，前台给免了。周围挺方便的，有停车场。
"位置:4.0,设施:4.0,服务:5.0,卫生:4.0",4.3,商务出差,2019年04月入住,豪华标准间,0,酒店不错，提点建议就是卫生间能有剃胡刀就好了，没有挺麻烦的
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,标准间,0,酒店地理位置优越，离开发区万达很近，有停车场。
"位置:3.0,设施:2.0,服务:1.0,卫生:3.0",2.3,家庭亲子,2018年10月入住,豪华标准间,0,国庆期间定的，价格涨了不少，服务水平没有上涨，态度很差，我们定的大/双床，到店后不说没有双床，直接开，我们到房间后发现是大床再下来找她，态度蛮狠无礼，说你们可以退房，不建议。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年10月入住,标准间,0,小单间很划算，11点半到东站，出站，过个马路走一小段就到了～～～～～就是外卖不能上楼，得下去拿～～晚上到站的话可以考虑入住～～方便～～
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2018年11月入住,标准间,0,酒店位置非常好，出行非常方便，房间很干净，很温馨，阳光充足，设施也很好，高端大气上档次的感觉，值得推荐
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年06月入住,标准间,0,非常棒，卫生干净，服务贴心周到，环境优美，是出差办公，家人旅游很好的选择，我情不自禁的想多多好评，给个大大的赞！
