scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2019年05月入住,希尔顿客房,0,非常棒的酒店，很豪华，附近全都是高楼，应该是大连正在建设的新城区，交通也较为方便，独自出游，外面是城景，也有海景房，很干净，很棒！附近有威尼斯水城，也很美。
"位置:5.0,设施:3.0,服务:5.0,卫生:4.0",4.3,家庭亲子,2019年05月入住,希尔顿客房,,大连酒店的早餐都是一个样子，说不上丰富，可能是靠近海边的缘故，并不适合胃口。酒店不是很新，水池有一个放水口是坏了，服务一般，没有阳台，有一个空气进化器，当时声音很大，马桶盖是智能的，挺好。。位置还行，离市区不远，因为在半山腰，所以外出只能靠坐车或者酒店的车。有儿童游乐场地，不合理的地方在于还要另外收费，而且是按次收费，上午玩完，中午休息一会，下午再来还要另外缴费，。健身房不大。五楼的空中花园晚上七点就不给去了，很遗憾。总体觉得这个淡季和这个价格比起来性价比不高。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,希尔顿客房,0,位置绝佳，停车位充足，紧邻音乐广场，码头，交通极便利，绝对五星标准，希尔顿品牌名不虚传，早餐相当丰富，环境优美，服务贴心，必须点赞！
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,家庭亲子,2019年06月入住,远景大床房,0,老人说这个酒店房间设施还行。卫生间太大 又不是住卫生间里 房间太小 早餐一般 餐厅服务态度很好。入住还好。虽然慢态度还算客气。退房的时候 妈呀……大堂前台服务员我欠你钱？怎么那么不耐烦呢？周边有肯德基必胜客。对面的是东港广场。晚上遛弯还不错。完全没有亲子服务。带着孩子因为没同层的房 愣给安排了同一层的吸烟房。泳池水特别凉。三岁以上男孩不能进女更衣室。如果妈妈自己带儿子就不要去游泳了。建议安排一个亲子更衣沐浴的。爸爸不在怎么办？亲子服务有待提高。
"位置:2.0,设施:4.0,服务:4.0,卫生:5.0",3.8,家庭亲子,2019年06月入住,豪华海景客房,0,酒店就在大连港旁边，就在海边，但楼前面还有个楼，挡视线，我订的是海景房，，但房间只能看到大连港，一点海景没有什么风景，房间位置十分差，酒店跟康莱德是一个楼的
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,其它,2019年06月入住,行政套房,0,用作婚房定的一个套房，当场大概六七十平左右，可以看海。房间设施还不错，酒店服务比较及时。上两张图片给大家参考
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2019年04月入住,希尔顿客房,,位于东港新区，整片区域都是填海而成，步行十分钟就可以到达威尼斯水城，沿着海边散步很是惬意！\n酒店的性价比也很高！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2019年03月入住,希尔顿客房,,第一次入住大连的希尔顿，位置很好在东港下楼就是大海步行十分钟就是威尼斯水城，打车也很方便酒店服务很好设施齐全，升级了房间能看到大海早起的话能看到日出很美，下次去大连首选希尔顿
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,家庭亲子,2019年04月入住,希尔顿客房,0,没吃早餐。位置不错，装修一般，有停车场，离达沃斯论坛会议中心很近，开车去的话很方便，离威尼斯水城很近
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,其它,2019年06月入住,豪华海景客房,0,这家酒店 早餐是在大连有名的好....这次来住休息的非常好 关键我老婆喜欢...下次我们会再来 很好很好
