scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:3.0,服务:5.0,卫生:5.0",4.5,独自旅行,2019年05月入住,豪华大床房,0,酒店服务总体来说还是很不错的，只是设施设备略显陈旧，行政酒廊早餐确实有点单一，但是环境很好，如果想吃好还是得去希尔顿一楼
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2019年06月入住,豪华大床房,0,服务态度超级好，有什么问题打电话到前台就解决了。五楼有健身房 美容院 Spa…质量很棒，去做了Spa～ 二楼有海鲜自助 有日料 推荐吃铁板烧～ 住的是33楼，有吸烟习惯的朋友提前说一下自己要吸烟楼层… 整体来讲还是很棒的～～～～～
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,家庭亲子,2019年06月入住,豪华大床房,0,单纯就说康奈德大连店有点价格虚高了。入住安排到了正面海景的房间，装修不错，还有胶囊咖啡，但是注意康奈德的拖鞋是重复利用的。含两双早在顶层行政酒廊，风景好但是东西很少，也可以去希尔顿一层吃，人暴多但是种类齐全。带娃出行所以选了这边。大连比想象的小，威尼斯人很多人拍照，海边可以喂海鸥，极力推荐出海去看看，码头离得非常近。
"位置:1.0,设施:1.0,服务:1.0,卫生:1.0",1,情侣出游,2019年06月入住,豪华大床房,0,服务态度特别差   本来打算周末跟男朋友一起去  结果临时有事情确实不能到达  各种商量能不能退款   结果被告知根本不可能   告诉付了钱就拿不回去  简直就呵呵了  所以大连那么多好酒店  千万别去这里了  太差了
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,情侣出游,2019年06月入住,豪华大床房,0,首先说下服务，一进大堂，马上有人过来拿箱子并指引到办入住的地方。办理完必帮把箱子拿到房间。并介绍房间的使用情况。入住后又打来电话问还需要什么，并送来行政房的使用时间表，放便去使用。让人有宾至如归的感觉。只是做为一个五星级酒店和富力希尔顿共用一个餐厅我感觉有点不可思议。不知出于是何目的？另外提一个小小的建议，行政酒廊的餐食可否在丰富些？
"位置:4.0,设施:3.0,服务:1.0,卫生:3.0",2.8,家庭亲子,2019年05月入住,豪华大床房,0,非常差的体验：1.网上说是3点入住，如需要提前入住请电话通知，我们由于是2点多到达，所以已经提前通知酒店，酒店当时没有提出任何问题，但当我们2点半左右到达酒店时，前台告知房间没有收拾好，进入不了房间。我们当时的小宝宝还在睡觉，居然让我们出去转一圈，说是一个小时能收拾完再打电话通知我们。试问这么狼狈的事合适吗？再说如果不能提前入住，为什么我打电话时不说明一下，这样我们也提早安排去其他地方。或者给我们换个其他房间，应该不难吧，但并没有。更可气的是，我们带孩子出去转了一圈，超过一个小时也没有给我们致电是否收拾完了，后来我们实在无地方可去回到酒店，还是同一个前台人员说房间收拾好了，请问你说好的致电我们呢？！\n2.入住前已经提前告知了有儿童入住，但用品方面只准备了儿童拖鞋和牙刷，没有准备儿童枕头！\n3.前台办入住人员的说话方式有严重问题。说是已经为您办理好了入住手续、为我们准备了房间等等说辞，但我们不能按时入住，连房卡都拿不到，不能在带着小宝宝的情况下休息，说这些遮掩的话有意义吗？我们既然预定了当然酒店要提供房间，这算什么服务！\n  总之：我们花了1400多元一晚入住的所谓五星酒店，居然让我们抱着午睡的小孩在外面吹风游荡了一个多小时，没有打电话通知我们几点回去入住，也没有为我们调整其他房型或做任何补偿。当时因为带孩子出门，没有时间找相关负责人理论此事，但这种做法让我们非常吃惊与失望，不会再选择这家酒店了，名不副实！希望游客谨慎选择！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,豪华大床房,0,虽然之前出行希尔顿的各个系列酒店也算是常客，但这次因为小孩子突然发烧第一次真切地体会到大连康莱德作为老牌五星级酒店的人性化服务，五一遛娃之行的最后一天全家人本身已经人困马乏了，五月三号孩子早晨突然间开始发烧，回程的车五点才开车，按正常退房时间真不知道带着发烧的孩子怎么办，最后还是决定延迟退房让孩子好好休息，没想到的是联系酒店前台后不久得到了可以免费延迟到四点的特别安排，酒店听说孩子发烧后一直追问我们需不需要什么帮助让我们一家非常感动，四点退房的时候当天的前台和领导也都主动的嘘寒问暖，给孩子拿了矿泉水水还主动帮助叫车，有太多感谢的话想表达，也不知从何说起，只能说再次感谢当天所有的工作人员，让我们感受到了家的温暖。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,豪华远景大床房,0,康莱德和希尔顿在同一大楼里，但是两个大堂。\n房间很大，床垫特别舒服，床被芯一般，有点旧了。卫生间干湿分离，浴缸很大，特别是智能坐便，对于在家习惯的人这个太好了！\n\n可惜，房间不能加床，虽然大床够宽敞，但跟着爱横着睡的孩子一起，还是有点挤。\n\n早餐可以去行政酒廊吃，景色非常好，但是种类少。我们是去希尔顿那边吃早饭，种类特别丰富，味道也不错。\n\n酒店位置距离地铁口，步行10分钟左右吧，那边不好打车，还是有点偏。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年04月入住,豪华大床房,0,这是目前我觉得最好的酒店之一，作为希尔顿旗下高端酒店，真的没让人失望。酒店房间干净，细节做的很好，床很舒服。早餐可以一边看海景一边享受美食，赞！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2018年12月入住,豪华远景大床房,,#酒店服务#从下车就感受到酒店工作人员的热情，先有安保人员帮忙开车门，酒店服务生拿行李，在办理酒店入住手续时还有小姐姐及时递上一杯热茶，很暖心❤️  \n#设计风格#房间卫生干净整洁，整体感觉不错，值得推荐。👍
