scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:5.0,服务:5.0,卫生:4.0",4.8,家庭亲子,2019年06月入住,亲子房,0,国内四星酒店，和大多数国内的酒店一样。服务中规中矩。定的亲子房，房间很大有45平。前台的接待员毕女士服务很温馨，带我看了两间不同楼层的房间供我选择。在后来的入住期间多次麻烦她和她的同事，觉得服务都不错。早餐以当地食品为主。有些西式的食品，应该说还是可以的。适合带小孩的家庭入住。周边交通方便，餐厅林立。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2019年05月入住,标准大床间,0,非常棒的酒店\n和男朋友入住后感觉对得起这个价格\n房型升级了，快递也是帮忙代收，服务态度非常好，下次去大连的不二选择
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2019年05月入住,豪华单人房,0,五一假期开车去大连玩，选择良运也是看点评好，到了果然没有失望，酒店有自己的停车场，还算方便。一进门就有服务员热情招待，接待我们的叫孙辉，印象深刻是因为当时在前台问了她很多问题，都耐心回答还告诉我们周边有品海楼，万宝海鲜等好几家知名餐厅，我们去了万宝海鲜，相当不错，不愧是大连最好的餐厅。房间还给免费升级了！办好入住到房间没多久就将我落在前台的包包给送上来，不送来都没发觉丢了东西，房间很干净，该有的都有，很满意的一次入住。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,标准大床间,0,酒店位置很好，周围饭店不少，距离歹街步行七八分钟；店内干净，设施齐全，服务周到，免费升级到豪华大床房，看到我带着小孩，还特意送来儿童一次性拖鞋，很贴心；不必为停车发愁，门外有停车场，住店免费，可以放心停；总之这个价位超值！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2019年06月入住,标准双床间,0,早餐丰富，市中心位置好，到景点很方便。大连空气好，环境好。东港音乐喷泉非常棒！动感强。距离酒店很近，观赏方便。市东部地区比西部地区设施建设好。
"位置:4.0,设施:3.0,服务:5.0,卫生:5.0",4.3,独自旅行,2019年06月入住,标准大床间,0,酒店离地铁站有一段距离，设施属于老牌四星级酒店但服务较好，网速还行并且可以收看到凤凰卫视等几个卫星频道，早餐还可以，但是淋浴的水流太小了并且热水不够热
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,标准双床间,0,刚一进屋觉得空气挺闷的，就把窗打开了，中午吃饭回来发现屋里多了一台空气净化器，风量还挺大，非常棒！周围吃饭挺方便的，三八广场，二七广场都不远，去东港看喷泉也很近，我们去十五库吃十完饭走着回的酒店。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,家庭亲子,2019年06月入住,亲子房,0,一家6口人，两件家庭房，前台和客房服务还有行李寄存处的工作员都特别热情，每次来大连都住这里，房价和环境能成正比！适合家庭出游，地段在中山区，很不错！
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,商务出差,2019年05月入住,标准大床间,0,要在大连找一个性价比高的、干净省心的酒店太难了。很多新的所谓精品酒店硬件都很好，但是因为太新，装修的味道都是让人受不了的。加上一般酒店房间的自然风通风都很差，在没有做过专业去甲醛的新的酒店住简直就是慢性自杀。我们这次去大连也是连续换了三个酒店，都是因为室内污染太差受不了所以辗转听网友介绍才来到良运。一开始真的没什么期待，觉得国营风格酒店，只要没有装修味，晚上安静就好了。谁知道这酒店完全超出预期：没有味道、非常干净整洁、该有的配套都有、地点还靠海，很多房间都会有小海景，也很通风。感叹花哨的设计还是抵不过平凡稳重的酒店。出差在外其实就是图个一夜好眠啊！唯一不足的是服务实在是太随性了。前台员工和礼宾部的人感觉都是放在那儿做摆设的，爱理不理的。难道都是新来的实习生吗？不过如果你不太重视服务只是想找个好房间的话还是很推荐这店的。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年04月入住,标准大床间,0,重点提一下贴心的服务：晚上关灯后，空调面板很亮，影响睡眠，我用一张纸挂在上面挡住光亮。服务员发现了这一点，第二天，就拿来一个专门的盒子罩在上面，挡住了亮光。很好！
