scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:3.0,服务:3.0,卫生:3.0",3.5,商务出差,2019年04月入住,标准间,,一个房间配备两瓶水，另外再需要2瓶水时，收费6元/瓶。\n设施比较旧，窗子都关不严的感觉，外面的风嗖嗖的吹进来。\n酒店名字很大气，但是设施也就是对得起房费。\n
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,情侣出游,2019年03月入住,行政大床房,0,停车方便，前台服务很好，有耐性。周边超市药房都有，走一会就能到。房间里装修风格有点过时，和但是经济，同一条街上的其他酒店都很贵。总体好评。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年12月入住,标准间,0,很好，他哈哈哈哈我的微博已经被你们刷屏的节奏了。我在外面玩手机📱？我们要好好的学习生活水平提高自己学习能力和
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年07月入住,标准间,0,延住了一天，感觉不错，服务很好👌周边比较热闹，位于开发区中心附近，周边有体育公园，炮台山公园，滨海公园等，离大黑山风景名胜区也不远
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,代人预订,2018年08月入住,商务双人间,0,房间看起来很干净，也很舒服，冰箱也很给力，酒店环境不错。 周边很多美食餐厅，烤肉，韩餐等等。 出去交通也很方便。前台服务也比较不错。\n
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,商务双人间,,有停车场，免费停，酒店位置好，离海边很近，走着去大约十五分钟可以到浴场，周围餐饮很多，吃饭很方便，以后推荐朋友住。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2018年08月入住,标准间,0,酒店位置不在市中心，但周边也繁华，性价比高，房间卫生，酒店餐厅饭菜价格不高，味道也好，推荐开车的朋友选择这里
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,朋友出游,2018年06月入住,标准间,0,酒店总体不错，只是房间有点小，标间单人床是一米的，一般都得是一米二的床吧？床旁边对着卫生间门口，不好！应该不是每个房间都是这个结构，也许让我们赶上了！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年08月入住,标准间,0,还不错，房间看起来很干净，也很舒服，冰箱也很给力，入住那天下大雨，没带伞，要出门买东西时，前台还给伞，挺好
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年07月入住,行政大床房,0,酒店位置还可以，交通比较方便。周边环境还可以，不太吵，早餐还可以。卫生不错，虽然细节差点，但总的来说还是不错。出差不错的选择。
"位置:4.0,设施:5.0,服务:5.0,卫生:5.0",4.8,商务出差,2018年06月入住,标准间,0,离大连民族大学很近，卫生，干净，到开发区可就近选择入住，酒店附近就是童子岭，景色不错，周围餐饮多为高档次酒店，
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2018年08月入住,行政大床房,0,干净卫生，有档次，下次还会光临
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年10月入住,行政大床房,0,不带早餐 不能加床 适合带孩子 位置在开发区不是很繁华 停车位充足🌺
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年04月入住,行政双人间,0,酒店不错，在大连开发区，五一赏樱花去的，房间干净、离小吃街、景区也不远，家人很满意，明年再去还会选择维多利亚！
"位置:4.0,设施:5.0,服务:5.0,卫生:5.0",4.8,商务出差,2018年03月入住,标准间,0,干净卫生，服务态度好！物超所值。老三星级，但配套服务到位，早餐丰盛，交通便利，停车方便，离民族大学、大连艺术学院近！每次到大连必住维多利亚！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年04月入住,标准间,0,在这里住了一晚，属于小别墅的类型，离景区很近，老板热情，东西落下老板又给发的快递，感谢这样的服务大赞
"位置:3.0,设施:4.0,服务:5.0,卫生:4.0",4,家庭亲子,2018年10月入住,商务双人间,0,房间无早…二楼早餐38一位！有点小贵！酒店位置好找…停车方便
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年03月入住,标准间,0,服务员发票开的很有耐心
