scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,,0,老牌的酒店，位于大连的繁华地段，客房内还提供了免费水果和小点心。亲子房很温馨：儿童床、小帐篷、木马、彩笔、小画板、小桌椅、海洋球和墙面上的动物卡通画，小朋友非常喜欢。室内的环境和卫生条件都非常好，服务也很人性化，早餐在25楼吃的，可以单点，用餐时间比1楼晚结束半小时，人少服务好。泳池也很干净，大堂的蛋糕、咖啡也不错的，就是电视有点老了，节目不太丰富，画面也有点雪花，不影响总体评价，还是一次满意的入住体验。前台的王颖和Jade分别帮忙办理的入住和退房，服务好，提出表扬
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,儿童主题房,0,香格里拉酒店亲子服务做特别好。服务员很热情。后花园可以喂鱼。免费鱼食。孩子淘气 不厌其烦的要鱼食。大堂工作人员态度特别好。还有一个工作人员叫冯喆。服务态度很好。还送了宝贝礼物。孩子特别喜欢。环境整体都很好。泳池很干净。早餐晚餐也很好。出门不远就有罗森。买东西也方便。停车免费。在大连玩了四天这里住两天。老人和孩子都很满意。相比东港广场那边的富力某酒店 香格里拉五星级了。那边住了一晚行政房。免费升级老人都不满意。老人说再也不要去住那个牌子酒店了……
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,其它,2019年06月入住,高级大床房,0,酒店地处市中心，交通便利，周边吃饭方便，房间比较安静利于休息，端午节期间入住办理较快，服务人员态度良好，酒店设施比较陈旧。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,豪华大床房,0,带家人来大连旅游，在办理入住时体验到了Henry Yang的热情服务与细致安排！第二天早上小朋友身体有不适，联系Henry Yang，酒店虽然没有医务室，但Henry Yang第一时间安排送体温计到客房并时刻关注小朋友身体状况！当得知可能是旅途劳顿吃不下东西时，Henry Yang结合了当地的饮食特点给予了很贴心的推荐，使我深受感动！客房入住体验也是一如既往的舒适。香格里拉也始终是出行的首选，没有之一！感谢Henry Yang让我们体验到了香格里拉式的热情好客与宾至如归的入住体验！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,公寓客房两室,0,第一次选择香格里拉公寓的亲子套房，果然没有让我失望。\n地理位置优越，交通方便，公寓服务也很贴心。\n\n套房为复式结构，客厅很大，给孩子准备了环保地垫，小帐篷、小画板、小课桌和各种玩具，画笔、手绘侧，简直就像在自己家里一样。主卫生间还准备了儿童毛巾等洗漱用品，一切为了孩子着想。\n\n有三间卧室，三个卫生间，满足一家三口和老人一起出行需求，公寓配备了厨房，从燃气罩、烤箱、洗碗机、锅碗瓢盆一应俱全，还有一个超大的三开门冰箱。\n\n入驻公寓还可以免费使用酒店的游泳池、健身房儿童游乐场等，如果觉得还不过瘾，可以带孩子去玩元素。\n\n早餐可以选择酒店的自助早餐，有专门的儿童早餐台，为小朋友们准备了种类繁多营养均衡的食物。晚餐就更丰盛了，有小朋友特别喜欢的意面，和各种甜品冰激凌。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年05月入住,高级双床房,0,早餐很丰盛，酒店位置还不错，离公交站很近，房间很安静，遮光也很好，很满意，如果早上没事的话拉上窗帘基本上可以睡到十点钟，周末早餐可以推迟到十点半，酒店房间里的茉莉花绿茶很香，用奶包和英国红茶泡的奶茶味道也不错～然后附近的话有水果店，遇上樱桃和草莓季节，吃了很多??，附近也有很多商场可以去逛逛。在酒店吃了自助晚餐，海鲜很棒，尤其甜点简直是最爱。前台和工作人员服务态度很好，可以换零钱坐公交，离店的时候还赠送了欧舒丹的洗护小样，是可以带上飞机的量，以后有机会还会入住香格里拉。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,家庭亲子,2019年06月入住,儿童主题房,0,带着宝宝出门就是想方便一些，到大连，一进酒店感觉很亲切，前台很热情，服务也很周到，特意定的儿童房，由于去的比较早，还没给布置，后来我们出去玩，回来又布置好的，宝宝很喜欢，开心的不得了。酒店位置也算方便、到哪里都不是很远。早餐在25楼吃也可以，一楼也可以，前一天去25楼环境很好，人也不多，后来去一楼用早餐，人就比较多了，不过菜品种类要比25楼多一些。酒店后院还有儿童滑梯，我们还看到羊驼\U0001f999了！呆萌可爱！二楼还有儿童玩的地方。酒店旁边就有玩元素，总之亲子游的话，订这里还是很不错的。下次来大连，我想还会住这的。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,儿童主题房,0,房间不是特别大，但是也够用了。\n早餐特别棒，中西餐都有，抻面特别棒，每天都来一碗。\n酒店后院有孩子的娱乐设施，还有小兔子可以让小孩子玩。恰逢遇到了羊驼，特别的棒，孩子玩儿的也很开心。\n进店时送了水果和儿童饼干，儿童用品一应俱全！大大的赞！\n离商圈比较近，下楼几步远就是大牌商场。酒店楼下也是商场，但是带着孩子就没有逛街。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年04月入住,高级大床房,,香格里拉的亲子房细节做的很到位 儿童牙刷、小毛巾、小马桶、小板凳、小拖鞋、小浴巾、各种小玩具（包括睡觉的安抚玩具、洗澡时的玩具、以及在房间内的木马、帐篷等大玩具）、小饼干、水果、牛奶、奶豆……甚至连防撞角都粘贴好了！一楼户外花园还准备了组合滑梯，礼宾部还准备了鱼食让小朋友可以喂鱼 \n晚间的自助餐厅吃的种类也相当丰盛！\n早餐还为小朋友准备了各种好看的甜点！\nK\n孩子住的很开心！还问我 妈妈我们要在这住几年[捂脸
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2019年05月入住,高级大床房,,交通：交通便利，离大连火车站2公里多，离大连马拉松起点近，地铁2号线港湾广场站500米左右。目测酒店有停车位。\n环境：酒店虽然不像新开立的酒店一水的智能家具，但是你需要的都有了。服务够得上五星酒店标准。上午10点多给办理的入住，退房时给延长到14:00。服务员补充饮用水很充分，只是瓶装水档次有些低端。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,儿童主题房,0,带小朋友定了儿童房，里面的设施很讨小朋友欢心。儿童乐园因为身体不舒服没去。服务不错，现场加钱升级了早餐，东西还不错！带小朋友强烈推荐！
