scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2019年06月入住,标准双床间,0,住了两晚，去星海广场走了一圈，发现还是这里性价比高，于是又续了两晚。所有的服务人员都非常热情。个人感觉床头没插座不是太方便。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年05月入住,标准大床间,0,五一节假日来的，性价比非常高的宾馆，应该是老牌四星，装修风格当然不能和新的比，但是胜在价格优惠，而且交通很方便，2号线出来200多米就到了，门口就是公交车，大堂有神州租车，我们就在门口拿车还车，超级便捷，前台服务好，热情，有一间没房还给免费升级了，附近吃的店多，选择余地大，大清花饺子非常推荐，家人都满意
"位置:5.0,设施:3.0,服务:3.0,卫生:5.0",4,商务出差,2019年06月入住,标准大床间,0,酒店房间干净整洁，宽大舒适，周边环境很好，附近就有地铁。设施旧了一点，这倒是不以为意，但是管理理念较差，空调下午五点至十一点开放，其他时段不开，如果十一点之后回来，你就享受不到空调了，窗户西向的房间热的无法入睡。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2019年06月入住,标准大床间,0,酒店非常好，准四星还是四星，因为是淡季价格不贵。从机场坐2号地铁到港湾广场站下，出地铁200多米就到了，前台美女帅哥服务态度很好，退房后寄存了行李。出酒店左手边是亚惠早餐，周边方便。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2019年05月入住,标准大床间,0,参加大连国际马拉松赛预订的酒店，位置较好，离起终点1.4公里，步行去出发点正好热身，比赛后步行回酒店距离合适。机场坐2号线地铁非常便捷。酒店西侧有一家亚惠快餐店非常近，晚餐和早餐都在这家餐厅就餐。酒店卫生和设施齐全，马拉松赛后回酒店洗澡还可以休息1小时，下午2点退房。去年在携程预订的德泓快捷酒店在这家酒店的东侧。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2019年06月入住,标准大床间,0,不错 干净 位置好 出行方便  美丽的滨海大连 美好的心情  舒适的居住环境 服务态度还不错  问题是 价格为什么这么实惠啊
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2019年04月入住,标准大床间,,友谊，听说是四星级酒店，整体装修比较老旧，房间大小到还挺好的。因为入住的时候是淡季，所以相对来说，不贵，差不多吧。如果旺季，价钱贵的话，性价比并不是很高。
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,代人预订,2019年06月入住,标准双床间,0,1.酒店位置优越，机场开车过来方便。2.酒店房间一定要订有窗景的，因为感觉舒适。3.周边吃饭的地方也近的，不错。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,代人预订,2019年04月入住,标准大床间,0,帮朋友预定的，酒店位于港湾广场附近，地理位置优越，交通便利，适合出差旅行，价格实惠，干净整洁舒适，经常推荐朋友入住。
"位置:5.0,设施:4.0,服务:5.0,卫生:4.0",4.5,商务出差,2019年06月入住,标准大床间,0,酒店位置不错，地处商业中心。管理规范，房间卫生很好。卫生洁具用品不错。周边餐馆很多。服务人员礼貌热情。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2019年05月入住,标准大床间,0,这个酒店离地铁不算太远，出行还很方便，离会议中心和音乐喷泉近，10分钟左右就可步行到达，房间很宽敞，很安静。
"位置:5.0,设施:3.0,服务:4.0,卫生:4.0",4,其它,2019年04月入住,标准大床间,0,设施齐全，但是比较陈旧了，周边比较安静，公交，地铁离的很近，交通便利，适合普通商务。（俺订的房间不含早餐，也不能加床）
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,其它,2019年04月入住,标准大床间,0,地理位置优越，周围的联通啊出行啊什么的都很方便，酒店性价比很高，同等价位的酒店这家算不错的，很适合朋友出行旅游。
"位置:4.0,设施:5.0,服务:5.0,卫生:5.0",4.8,商务出差,2019年04月入住,标准大床间,0,位置和环境这个价格真的是很难得，在人民路上出行非常方便。服务也不错?
"位置:3.0,设施:1.0,服务:3.0,卫生:4.0",2.8,家庭亲子,2018年08月入住,标准大床间,0,我在网上选的是挂牌的4星酒店，不知道携程是怎么把该酒店列为4星的，找了一圈也没找到挂了4星的牌子，显然是假的，就是一栋老的不能再老的楼改的，设施陈旧，配套什么的连3星都达不到。我觉的携程对我都是欺骗！\n更让人闹火的是，锁门的门拴掉下一块小铁片把我手指扎上了，我真晕，不知有没有后遗证？！
"位置:3.0,设施:1.0,服务:1.0,卫生:3.0",2,商务出差,2018年11月入住,标准大床间,,早餐没包括在里面，昨天是11月29日晚上气温零上2度，在没有空调和电热毯的情况下，睡了一晚上，入住酒店时酒店人员没有提醒顾客中央空调不能使用，睡了一晚被活活冻成感冒。第二天退房工作人员检查房间太耽误时间，耽误了我坐飞机。这是第二次入住，相比第一次太差，很生气，再不会订友谊宾馆酒店。
"位置:5.0,设施:4.0,服务:4.0,卫生:4.0",4.3,商务出差,2018年08月入住,标准双床间,0,位置绝佳，离音乐喷泉只有几分钟，每晚7:30和8:20有喷泉，离中山广场，友好广场很近，公交地铁都方便。楼下吃早餐的地方很便宜很好吃。携程特价性价比很高，小冰箱效果超赞，每天两瓶赠水，服务还好，就是设施有点旧，房间有点暗，门锁一般，比较老旧。
"位置:4.0,设施:3.0,服务:4.0,卫生:4.0",3.8,家庭亲子,2018年10月入住,标准大床间,0,我定的房间不含早，但酒店位置好吃饭很方便。免费停车。服务热情，设施老旧。
